Date,Conference,Location,Link,EventID,StartDate,EndDate,Deadline,VenueDetail,About,Email,Website,Contact,Organizer,Price
06May,"International Conference on Machine Learning, Computer Software and Applications (ICMLCSA)","Pune,India",https://www.conferencealerts.in/events/2064464,CA2064464,2026-05-06,2026-05-07,2026-04-17,"Pune , India","Machine Learning, Computer Software and Applications Conference aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Machine Learning, Computer Software and Applications Conference. It also provides a premier interdisciplinary platform for researchers, practitioners, and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Machine Learning, Computer Software and Applications Conference.",info.researchconferences@gmail.com,http://researchconferences.in/Conference/26569/ICMLCSA/,Conference Coordinator,Research Conferences,"₹3,738 (Special price for India)"
06May,"International Conference on Machine Learning, Computer Software and Applications (ICMLCSA)","New Delhi,India",https://www.conferencealerts.in/events/2064454,CA2064454,2026-05-06,2026-05-07,2026-04-17,"New Delhi , India","Machine Learning, Computer Software and Applications Conference aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Machine Learning, Computer Software and Applications Conference. It also provides a premier interdisciplinary platform for researchers, practitioners, and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Machine Learning, Computer Software and Applications Conference.",info.researchconferences@gmail.com,http://researchconferences.in/Conference/26579/ICMLCSA/,Conference Coordinator,Research Conferences,"₹3,738 (Special price for India)"
06May,"International Conference on Machine Learning, Computer Software and Applications (ICMLCSA)","Jalandhar,India",https://www.conferencealerts.in/events/2064444,CA2064444,2026-05-06,2026-05-07,2026-04-17,"Jalandhar , India","Machine Learning, Computer Software and Applications Conference aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Machine Learning, Computer Software and Applications Conference. It also provides a premier interdisciplinary platform for researchers, practitioners, and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Machine Learning, Computer Software and Applications Conference.",info.researchconferences@gmail.com,http://researchconferences.in/Conference/26589/ICMLCSA/,Conference Coordinator,Research Conferences,"₹3,738 (Special price for India)"
06May,International Conference on Software Engineering and Computer Science (ICSECS),"Pune,India",https://www.conferencealerts.in/events/2064064,CA2064064,2026-05-06,2026-05-06,2026-04-17,"Pune , India","International Conference on Software Engineering and Computer Science  ICSECSaddresses the rapid strides and technological advancements currently witnessed in the fields of ICSECS. The conference aspires to exhibit the technical excellence of budding technocrats, research scholars, representatives from the academia and industry. This conference aims to bring together the best of globally renewed research professionals. English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info.irfsr@gmail.com,http://irfsr.com/Conference/9060/ICSECS/,Conference Coordinator,International Research forum for Scientific Research,"₹2,149 (Special price for India)"
06May,International Conference on Software Engineering and Computer Science (ICSECS),"Roorkee,India",https://www.conferencealerts.in/events/2064058,CA2064058,2026-05-06,2026-05-06,2026-04-17,"Roorkee , India","International Conference on Software Engineering and Computer Science  ICSECSaddresses the rapid strides and technological advancements currently witnessed in the fields of ICSECS. The conference aspires to exhibit the technical excellence of budding technocrats, research scholars, representatives from the academia and industry. This conference aims to bring together the best of globally renewed research professionals. English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info.irfsr@gmail.com,http://irfsr.com/Conference/9066/ICSECS/,Conference Coordinator,International Research forum for Scientific Research,"₹2,149 (Special price for India)"
06May,International Conference on Software Engineering and Computer Science (ICSECS),"Kollam,India",https://www.conferencealerts.in/events/2064052,CA2064052,2026-05-06,2026-05-06,2026-04-17,"Kollam , India","International Conference on Software Engineering and Computer Science  ICSECSaddresses the rapid strides and technological advancements currently witnessed in the fields of ICSECS. The conference aspires to exhibit the technical excellence of budding technocrats, research scholars, representatives from the academia and industry. This conference aims to bring together the best of globally renewed research professionals. English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info.irfsr@gmail.com,http://irfsr.com/Conference/9072/ICSECS/,Conference Coordinator,International Research forum for Scientific Research,"₹2,149 (Special price for India)"
06May,"International Conference on Computer Science, Machine Learning and Artificial Intelligence (ICCSMLAI)","Chennai,India",https://www.conferencealerts.in/events/2056369,CA2056369,2026-05-06,2026-05-06,2026-04-17,"Chennai , India","The key motive of ICCSMLAI is to provide a world-class platform for the global participants to share their ideas and experience in person with their peers expected to join from different parts of the world. In addition, this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSMLAI outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.",info.irfconference@gmail.com,http://irfconference.org/Conference/38448/ICCSMLAI/,Conference Coordinator,Irfconference,"₹3,738 (Special price for India)"
06May,"International Conference on Computer Science, Machine Learning and Artificial Intelligence (ICCSMLAI)","Shimoga,India",https://www.conferencealerts.in/events/2056362,CA2056362,2026-05-06,2026-05-06,2026-04-17,"Shimoga , India","The key motive of ICCSMLAI is to provide a world-class platform for the global participants to share their ideas and experience in person with their peers expected to join from different parts of the world. In addition, this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSMLAI outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.",info.irfconference@gmail.com,http://irfconference.org/Conference/38455/ICCSMLAI/,Conference Coordinator,Irfconference,"₹3,738 (Special price for India)"
06May,"International Conference on Computer Science, Machine Learning and Artificial Intelligence (ICCSMLAI)","Mangalore,India",https://www.conferencealerts.in/events/2056355,CA2056355,2026-05-06,2026-05-06,2026-04-17,"Mangalore , India","The key motive of ICCSMLAI is to provide a world-class platform for the global participants to share their ideas and experience in person with their peers expected to join from different parts of the world. In addition, this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSMLAI outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.",info.irfconference@gmail.com,http://irfconference.org/Conference/38462/ICCSMLAI/,Conference Coordinator,Irfconference,"₹3,738 (Special price for India)"
06May,International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT),"Nagpur,India",https://www.conferencealerts.in/events/2052312,CA2052312,2026-05-06,2026-05-06,2026-04-17,"Nagpur , India","ICRACSIT   is to bring together innovative academics and industrial experts in the field of Computer Science and Information Technology to a common forum. All the registered papers will be published by the World Research Library and will be submitted for review for indexing by Google Scholar etc.

This Conference is sponsored by  many International institutes. The conference would offer a large number of invited lectures from renowned speakers all over the country. The Best paper awards will be given for the papers judged to make the most significant contribution to the conference.",contact.wrfer@gmail.com,https://wrfer.org/Conference/63337/ICRACSIT/,Conference Coordinator,wrfer,"₹3,738 (Special price for India)"
06May,International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT),"Ghaziabad,India",https://www.conferencealerts.in/events/2052301,CA2052301,2026-05-06,2026-05-06,2026-04-17,"Ghaziabad , India","ICRACSIT   is to bring together innovative academics and industrial experts in the field of Computer Science and Information Technology to a common forum. All the registered papers will be published by the World Research Library and will be submitted for review for indexing by Google Scholar etc.

This Conference is sponsored by  many International institutes. The conference would offer a large number of invited lectures from renowned speakers all over the country. The Best paper awards will be given for the papers judged to make the most significant contribution to the conference.",contact.wrfer@gmail.com,https://wrfer.org/Conference/63391/ICRACSIT/,Conference Coordinator,wrfer,"₹3,738 (Special price for India)"
06May,International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT),"Pune,India",https://www.conferencealerts.in/events/2052290,CA2052290,2026-05-06,2026-05-06,2026-04-17,"Pune , India","ICRACSIT   is to bring together innovative academics and industrial experts in the field of Computer Science and Information Technology to a common forum. All the registered papers will be published by the World Research Library and will be submitted for review for indexing by Google Scholar etc.

This Conference is sponsored by  many International institutes. The conference would offer a large number of invited lectures from renowned speakers all over the country. The Best paper awards will be given for the papers judged to make the most significant contribution to the conference.",contact.wrfer@gmail.com,https://wrfer.org/Conference/63404/ICRACSIT/,Conference Coordinator,wrfer,"₹3,738 (Special price for India)"
06May,International Conference on Advanced Research in Computer Science and Information Technology (ICARCSIT),"Bangalore,India",https://www.conferencealerts.in/events/2049023,CA2049023,2026-05-06,2026-05-06,2026-04-17,"Bangalore , India",The ICARCSIT conference offers a track of quality R&D s from key experts and provides an opportunity in bringing in the new techniques and horizons that will contribute to Advanced Research in Computer Science and Information Technology in the next few years. All submitted papers will be under peer review and accepted papers will be published in the conference proceeding. Both academia and industries are invited to present their papers dealing with state-of-art research and future developments.,papers.asar@gmail.com,https://asar.org.in/Conference/84857/ICARCSIT/,Conference Coordinator,Asar,"₹3,738 (Special price for India)"
06May,International Conference on Advanced Research in Computer Science and Information Technology (ICARCSIT),"Ranchi,India",https://www.conferencealerts.in/events/2049005,CA2049005,2026-05-06,2026-05-06,2026-04-17,"Ranchi , India",The ICARCSIT conference offers a track of quality R&D s from key experts and provides an opportunity in bringing in the new techniques and horizons that will contribute to Advanced Research in Computer Science and Information Technology in the next few years. All submitted papers will be under peer review and accepted papers will be published in the conference proceeding. Both academia and industries are invited to present their papers dealing with state-of-art research and future developments.,papers.asar@gmail.com,https://asar.org.in/Conference/84893/ICARCSIT/,Conference Coordinator,Asar,"₹3,738 (Special price for India)"
06May,International Conference on Advanced Research in Computer Science and Information Technology (ICARCSIT),"Bhawanipatna,India",https://www.conferencealerts.in/events/2048987,CA2048987,2026-05-06,2026-05-06,2026-04-17,"Bhawanipatna , India",The ICARCSIT conference offers a track of quality R&D s from key experts and provides an opportunity in bringing in the new techniques and horizons that will contribute to Advanced Research in Computer Science and Information Technology in the next few years. All submitted papers will be under peer review and accepted papers will be published in the conference proceeding. Both academia and industries are invited to present their papers dealing with state-of-art research and future developments.,papers.asar@gmail.com,https://asar.org.in/Conference/84929/ICARCSIT/,Conference Coordinator,Asar,"₹3,738 (Special price for India)"
06May,International Conference on Big Data Computer Science and Information (ICBDCSI),"Pune,India",https://www.conferencealerts.in/events/1929876,CA1929876,2026-05-06,2026-05-06,2026-04-09,"Pune , India","The International Conference on Big Data Computer Science and Information aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Big Data Computer Science and Information. It also provides a premier interdisciplinary platform for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Big Data Computer Science and Information.",info.bigdataresearchforum@gmail.com,http://bigdataresearchforum.com/Conference/10987/ICBDCSI/,Conference Coordinator,Big Data Research Forum,"₹4,018 (Special price for India)"
07May,International Conference on Software Engineering and Information Technology (ICSEIT),"Ernakulam,India",https://www.conferencealerts.in/events/2082272,CA2082272,2026-05-07,2026-05-07,2026-04-18,"Ernakulam , India","ICSEIT aims to bring together researchers, scientists, engineers, and scholar students to exchange and share their experiences, new ideas, and research results about all aspects of Mechanical and Industrial Engineering, and discuss the practical challenges encountered and the solutions adopted. The conference will be held every year to make it an ideal platform for people to share views and experiences in Software Engineering and Information Technology related areas. Past Conference Highlights.",sarc.net.in@gmail.com,http://sarc.net.in/Conference/45962/ICSEIT/,Conference Coordinator,South Asian Research Center (SARC),"₹2,336 (Special price for India)"
07May,International Conference on Software Engineering and Information Technology (ICSEIT),"Belgaum,India",https://www.conferencealerts.in/events/2082263,CA2082263,2026-05-07,2026-05-07,2026-04-18,"Belgaum , India","ICSEIT aims to bring together researchers, scientists, engineers, and scholar students to exchange and share their experiences, new ideas, and research results about all aspects of Mechanical and Industrial Engineering, and discuss the practical challenges encountered and the solutions adopted. The conference will be held every year to make it an ideal platform for people to share views and experiences in Software Engineering and Information Technology related areas. Past Conference Highlights.",sarc.net.in@gmail.com,http://sarc.net.in/Conference/45971/ICSEIT/,Conference Coordinator,South Asian Research Center (SARC),"₹2,336 (Special price for India)"
07May,International Conference on Software Engineering and Information Technology (ICSEIT),"Chinchawad,India",https://www.conferencealerts.in/events/2082254,CA2082254,2026-05-07,2026-05-07,2026-04-18,"Chinchawad , India","ICSEIT aims to bring together researchers, scientists, engineers, and scholar students to exchange and share their experiences, new ideas, and research results about all aspects of Mechanical and Industrial Engineering, and discuss the practical challenges encountered and the solutions adopted. The conference will be held every year to make it an ideal platform for people to share views and experiences in Software Engineering and Information Technology related areas. Past Conference Highlights.",sarc.net.in@gmail.com,http://sarc.net.in/Conference/45980/ICSEIT/,Conference Coordinator,South Asian Research Center (SARC),"₹2,336 (Special price for India)"
07May,"International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)","Bangalore,India",https://www.conferencealerts.in/events/2081189,CA2081189,2026-05-07,2026-05-07,2026-04-18,"Bangalore , India",The key intention of ICBDSCC is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICBDSCC outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.academicsconference@gmail.com,http://academicsconference.com/Conference/85329/ICBDSCC/,Conference Coordinator,Academicsconference,"₹3,738 (Special price for India)"
07May,International Conference on Software Engineering and Computer Science (ICSECS),"Bangalore,India",https://www.conferencealerts.in/events/2081185,CA2081185,2026-05-07,2026-05-07,2026-04-18,"Bangalore , India","International Conference on Software Engineering and Computer Science aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Computer Science and Software Engineering. It also provides a premier interdisciplinary platform for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Computer Science and Software Engineering.",papers.academicsconference@gmail.com,http://academicsconference.com/Conference/85333/ICSECS/,Conference Coordinator,Academicsconference,"₹3,738 (Special price for India)"
07May,"International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)","Puri,India",https://www.conferencealerts.in/events/2081172,CA2081172,2026-05-07,2026-05-07,2026-04-18,"Puri , India",The key intention of ICBDSCC is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICBDSCC outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.academicsconference@gmail.com,http://academicsconference.com/Conference/85346/ICBDSCC/,Conference Coordinator,Academicsconference,"₹3,738 (Special price for India)"
07May,International Conference on Software Engineering and Computer Science (ICSECS),"Puri,India",https://www.conferencealerts.in/events/2081168,CA2081168,2026-05-07,2026-05-07,2026-04-18,"Puri , India","International Conference on Software Engineering and Computer Science aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Computer Science and Software Engineering. It also provides a premier interdisciplinary platform for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Computer Science and Software Engineering.",papers.academicsconference@gmail.com,http://academicsconference.com/Conference/85350/ICSECS/,Conference Coordinator,Academicsconference,"₹3,738 (Special price for India)"
07May,"International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)","Guntur,India",https://www.conferencealerts.in/events/2081155,CA2081155,2026-05-07,2026-05-07,2026-04-18,"Guntur , India",The key intention of ICBDSCC is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICBDSCC outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.academicsconference@gmail.com,http://academicsconference.com/Conference/85363/ICBDSCC/,Conference Coordinator,Academicsconference,"₹3,738 (Special price for India)"
07May,International Conference on Software Engineering and Computer Science (ICSECS),"Guntur,India",https://www.conferencealerts.in/events/2081151,CA2081151,2026-05-07,2026-05-07,2026-04-18,"Guntur , India","International Conference on Software Engineering and Computer Science aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Computer Science and Software Engineering. It also provides a premier interdisciplinary platform for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Computer Science and Software Engineering.",papers.academicsconference@gmail.com,http://academicsconference.com/Conference/85367/ICSECS/,Conference Coordinator,Academicsconference,"₹3,738 (Special price for India)"
07May,International Conference on Advances in Artificial Intelligence and Computer Science (ICAAICS),"Navi Mumbai,India",https://www.conferencealerts.in/events/2080461,CA2080461,2026-05-07,2026-05-07,2026-04-18,"Navi Mumbai , India","ICAAICS provides an International forum for researchers, developers, engineers and academicians who are involved in research projects to exchange and share their valuable ideas and research concept leading to the innovation of new and relevant technology. We are going to provide an opportunity to exchange new ideas, advances and technologies for all registered participants. We hope that this will become a strong technological and academic community for worldwide engineers, scholars, academicians, industrialists and students in fields of relevant areas.",papers.iefo@gmail.com,http://ieeeconference.com/Conference/31754/ICAAICS/,Conference Coordinator,Ieeeconference,"₹3,270 (Special price for India)"
07May,"International Conference on Computer Science, Industrial Electronics (ICCSIE)","Navi Mumbai,India",https://www.conferencealerts.in/events/2080457,CA2080457,2026-05-07,2026-05-07,2026-04-18,"Navi Mumbai , India","ICCSIE provides an international forum for researchers, developers, engineers and academicians who are involved in research projects to exchange and share their valuable ideas and research concept leading to the innovation of new and relevant technology. We are going to provide an opportunity to exchange new ideas, advances and technologies for all registered participants. We hope that this  will become a strong technological and academic community for worldwide engineers, scholars ,academicians , industrialists and students in fields of relevant areas.",papers.iefo@gmail.com,http://ieeeconference.com/Conference/31758/ICCSIE/,Conference Coordinator,Ieeeconference,"₹3,270 (Special price for India)"
07May,International Conference on Advances in Artificial Intelligence and Computer Science (ICAAICS),"Nashik,India",https://www.conferencealerts.in/events/2080453,CA2080453,2026-05-07,2026-05-07,2026-04-18,"Nashik , India","ICAAICS provides an International forum for researchers, developers, engineers and academicians who are involved in research projects to exchange and share their valuable ideas and research concept leading to the innovation of new and relevant technology. We are going to provide an opportunity to exchange new ideas, advances and technologies for all registered participants. We hope that this will become a strong technological and academic community for worldwide engineers, scholars, academicians, industrialists and students in fields of relevant areas.",papers.iefo@gmail.com,http://ieeeconference.com/Conference/31762/ICAAICS/,Conference Coordinator,Ieeeconference,"₹3,270 (Special price for India)"
07May,"International Conference on Computer Science, Industrial Electronics (ICCSIE)","Nashik,India",https://www.conferencealerts.in/events/2080449,CA2080449,2026-05-07,2026-05-07,2026-04-18,"Nashik , India","ICCSIE provides an international forum for researchers, developers, engineers and academicians who are involved in research projects to exchange and share their valuable ideas and research concept leading to the innovation of new and relevant technology. We are going to provide an opportunity to exchange new ideas, advances and technologies for all registered participants. We hope that this  will become a strong technological and academic community for worldwide engineers, scholars ,academicians , industrialists and students in fields of relevant areas.",papers.iefo@gmail.com,http://ieeeconference.com/Conference/31766/ICCSIE/,Conference Coordinator,Ieeeconference,"₹3,270 (Special price for India)"
07May,International Conference on Computer science and Information Technology (ICCSIT),"Jamshedpur,India",https://www.conferencealerts.in/events/2079901,CA2079901,2026-05-07,2026-05-07,2026-04-18,"Jamshedpur , India",The key intention of ICCSIT is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSIT outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.issrd@gmail.com,http://issrd.org/Conference/41865/ICCSIT/,Conference Coordinator,Issrd,"₹4,205 (Special price for India)"
07May,International Conference on Computer science and Information Technology (ICCSIT),"Ratlam,India",https://www.conferencealerts.in/events/2079892,CA2079892,2026-05-07,2026-05-07,2026-04-18,"Ratlam , India",The key intention of ICCSIT is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSIT outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.issrd@gmail.com,http://issrd.org/Conference/41874/ICCSIT/,Conference Coordinator,Issrd,"₹4,205 (Special price for India)"
07May,International Conference on Computer science and Information Technology (ICCSIT),"Kharagpur,India",https://www.conferencealerts.in/events/2079883,CA2079883,2026-05-07,2026-05-07,2026-04-18,"Kharagpur , India",The key intention of ICCSIT is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSIT outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.issrd@gmail.com,http://issrd.org/Conference/41883/ICCSIT/,Conference Coordinator,Issrd,"₹4,205 (Special price for India)"
07May,"National Conference on Advances in Electrical, Electronics & Computer Engineering (NCAEECE)","Itanagar,India",https://www.conferencealerts.in/events/2079110,CA2079110,2026-05-07,2026-05-07,2026-04-18,"Itanagar , India","National Conference on Advances in Electrical, Electronics & Computer Engineering NCAEECE. NCAEECE addresses the rapid strides and technological advancements currently witnessed in the fields of .

English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info@nationalconferences.org,http://nationalconferences.org/Conference/21751/NCAEECE/,Conference Coordinator,Nationalconferences,"₹2,336 (Special price for India)"
07May,"National Conference on Advances in Electrical, Electronics & Computer Engineering (NCAEECE)","Dispur,India",https://www.conferencealerts.in/events/2079106,CA2079106,2026-05-07,2026-05-07,2026-04-18,"Dispur , India","National Conference on Advances in Electrical, Electronics & Computer Engineering NCAEECE. NCAEECE addresses the rapid strides and technological advancements currently witnessed in the fields of .

English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info@nationalconferences.org,http://nationalconferences.org/Conference/21755/NCAEECE/,Conference Coordinator,Nationalconferences,"₹2,336 (Special price for India)"
07May,"International Conference on Electrical, Electronics & Computer Science (ICEECS)","Kalyan,India",https://www.conferencealerts.in/events/2078492,CA2078492,2026-05-07,2026-05-07,2026-04-18,"Kalyan , India","The conference is aiming at facilitating the exchange of ideas and developments in all aspects of   Electrical, Electronics & Computer Science topics. This conference provides opportunities for the different areas delegates to exchange new ideas and application experiences face to face, to establish business or research relations and to find global partners for future collaboration. We hope that the conference results constituted significant contribution to the knowledge in these up to date scientific field. The organizing committee of conference is pleased to invite prospective authors to submit their original manuscripts to ICEECS",papers.iistem@gmail.com,http://iistem.org/Conference/31714/ICEECS/,Conference Coordinator,Iistem,"₹2,336 (Special price for India)"
07May,"International Conference on Electrical, Electronics & Computer Science (ICEECS)","Varanasi,India",https://www.conferencealerts.in/events/2078480,CA2078480,2026-05-07,2026-05-07,2026-04-18,"Varanasi , India","The conference is aiming at facilitating the exchange of ideas and developments in all aspects of   Electrical, Electronics & Computer Science topics. This conference provides opportunities for the different areas delegates to exchange new ideas and application experiences face to face, to establish business or research relations and to find global partners for future collaboration. We hope that the conference results constituted significant contribution to the knowledge in these up to date scientific field. The organizing committee of conference is pleased to invite prospective authors to submit their original manuscripts to ICEECS",papers.iistem@gmail.com,http://iistem.org/Conference/31726/ICEECS/,Conference Coordinator,Iistem,"₹2,336 (Special price for India)"
07May,International Conference on Advanced Computer Science and Information Technology (ICACSIT),"Bhiwandi,India",https://www.conferencealerts.in/events/2077539,CA2077539,2026-05-07,2026-05-07,2026-04-18,"Bhiwandi , India",The key intention of ITResearch is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ITResearch outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.itresearch@gmail.com,http://itresearch.org.in/Conference/8568/ICACSIT/,Conference Coordinator,Itresearch,"₹2,336 (Special price for India)"
07May,International Conference on Advanced Computer Science and Information Technology (ICACSIT),"Ambala,India",https://www.conferencealerts.in/events/2077531,CA2077531,2026-05-07,2026-05-07,2026-04-18,"Ambala , India",The key intention of ITResearch is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ITResearch outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.itresearch@gmail.com,http://itresearch.org.in/Conference/8576/ICACSIT/,Conference Coordinator,Itresearch,"₹2,336 (Special price for India)"
07May,International Conference on Advances in Software and Computing Technologies (ICASCT),"Prayagraj,India",https://www.conferencealerts.in/events/2077223,CA2077223,2026-05-07,2026-05-07,2026-04-18,"Prayagraj , India",The key intention of ICASCT is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICASCT outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.scienceglobe@gmail.com,http://scienceglobe.org/Conference/25920/ICASCT/,Conference Coordinator,Scienceglobe,"₹3,738 (Special price for India)"
07May,International Conference on Advances in Software and Computing Technologies (ICASCT),"Chennai,India",https://www.conferencealerts.in/events/2077217,CA2077217,2026-05-07,2026-05-07,2026-04-18,"Chennai , India",The key intention of ICASCT is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICASCT outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.scienceglobe@gmail.com,http://scienceglobe.org/Conference/25926/ICASCT/,Conference Coordinator,Scienceglobe,"₹3,738 (Special price for India)"
07May,"International Conference on Recent Innovations in Computer Science, Engineering and Technology (ICRICSET)","Kollam,India",https://www.conferencealerts.in/events/2076523,CA2076523,2026-05-07,2026-05-08,2026-04-18,"Kollam , India","The ICRICSET conference is an international forum for the presentation of technological advances and research results in the fields of Recent Innovations in Computer Science, Engineering and Technology. The conference will bring together leading researchers, engineers and scientists in the domain of interest from around the world. We warmly welcome previous and prospected authors submit your new research papers to ICRICSET, and share the valuable experiences with the scientist and scholars around the world.",papers.scienceplus@gmail.com,http://scienceplus.us/Conference/42702/ICRICSET/,Conference Coordinator,scienceplus,"₹3,270 (Special price for India)"
07May,"International Conference on Machine Learning, Computer Software and Applications (ICMLCSA)","Bangalore,India",https://www.conferencealerts.in/events/2064474,CA2064474,2026-05-07,2026-05-08,2026-04-18,"Bangalore , India","Machine Learning, Computer Software and Applications Conference aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Machine Learning, Computer Software and Applications Conference. It also provides a premier interdisciplinary platform for researchers, practitioners, and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Machine Learning, Computer Software and Applications Conference.",info.researchconferences@gmail.com,http://researchconferences.in/Conference/26559/ICMLCSA/,Conference Coordinator,Research Conferences,"₹3,738 (Special price for India)"
07May,International Conference on Software Engineering and Computer Science (ICSECS),"Faridabad,India",https://www.conferencealerts.in/events/2064076,CA2064076,2026-05-07,2026-05-07,2026-04-18,"Faridabad , India","International Conference on Software Engineering and Computer Science  ICSECSaddresses the rapid strides and technological advancements currently witnessed in the fields of ICSECS. The conference aspires to exhibit the technical excellence of budding technocrats, research scholars, representatives from the academia and industry. This conference aims to bring together the best of globally renewed research professionals. English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info.irfsr@gmail.com,http://irfsr.com/Conference/9048/ICSECS/,Conference Coordinator,International Research forum for Scientific Research,"₹2,149 (Special price for India)"
